Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/15, 4:12 PM","!1ebc35b9","0","6.5","-42","POSITION_APP","","(37.670, -122.080) 159m asl"
"3/15, 4:13 PM","MFMY to !1ebc35b9","0","","","NODEINFO_APP","3 / 6","MFM Mini Yellow"
"3/15, 4:13 PM","U951","0","MQTT","","POSITION_APP","2 / 7","(37.754, -122.413) 16m asl"
"3/15, 4:14 PM","0xFC to U951","","","","TRACEROUTE","",""
"3/15, 4:13 PM","MT","0","6.5","-43","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 4:14 PM","BIC","0","","","POSITION_APP","2 / 3","(38.037, -121.661) -18m asl"
"3/15, 4:15 PM","0xFC to BIC","","","","TRACEROUTE","",""
"3/15, 4:14 PM","RIPR","0","","","TELEMETRY_APP","3 / 3","4.2V 98%"
"3/15, 4:15 PM","!dcb9f557","0","","","POSITION_APP","5 / 6","(38.280, -122.061) 50m asl"
"3/15, 4:15 PM","DBLF","0","","","TELEMETRY_APP","2 / 3","0.0V 101%"
"3/15, 4:16 PM","0xFC to DBLF","","","","TRACEROUTE","",""
"3/15, 4:15 PM","MT","0","6.5","-42","TELEMETRY_APP","0 / 7","4.2V 101%"
"3/15, 4:16 PM","!e4ea040","218","","","encrypted","2 / 7",""
"3/15, 4:16 PM","ffa8","0","","","POSITION_APP","3 / 7","(38.286, -120.285) 1450m asl"
"3/15, 4:17 PM","0xFC to ffa8","","","","TRACEROUTE","",""
"3/15, 4:16 PM","f63c","0","MQTT","","NODEINFO_APP","5 / 7","Meshtastic f63c"
"3/15, 4:17 PM","8998","0","","","NODEINFO_APP","5 / 7","K6RPT"
"3/15, 4:18 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/15, 4:17 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/15, 4:18 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/15, 4:18 PM","!43f442a4","0","","","TELEMETRY_APP","5 / 5",""
"3/15, 4:18 PM","Mfeb","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/15, 4:19 PM","0xFC to Mfeb","","","","TRACEROUTE","",""
"3/15, 4:19 PM","HA0","0","","","TELEMETRY_APP","2 / 7","4.1V 93%"
"3/15, 4:19 PM","MFMY to ffa8","0","","","NODEINFO_APP","4 / 6","MFM Mini Yellow"
"3/15, 4:19 PM","RIPR to A23G","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/15, 4:20 PM","STN1","0","","","TELEMETRY_APP","2 / 7","4.1V 93%"
"3/15, 4:21 PM","STN1","0","","","TELEMETRY_APP","2 / 7",""
"3/15, 4:23 PM","!2ba37ca8","0","","","TELEMETRY_APP","6 / 7","0.0V 101%"
"3/15, 4:23 PM","WB6T to !2ba37ca8","0","","","NODEINFO_APP","3 / 3","WB6TOU"
"3/15, 4:23 PM","TM1","0","","","POSITION_APP","2 / 3","(37.513, -120.875) 40m asl"
"3/15, 4:24 PM","0xFC to TM1","","","","TRACEROUTE","",""
"3/15, 4:23 PM","A23G","0","MQTT","","TELEMETRY_APP","3 / 5","4.2V 98%"
"3/15, 4:23 PM","MT","0","6.5","-43","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 4:24 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.413) 16m asl"
"3/15, 4:24 PM","BCN1","0","","","POSITION_APP","6 / 7","(37.408, -121.871) 40m asl"
"3/15, 4:25 PM","0xFC to BCN1","","","","TRACEROUTE","",""
"3/15, 4:24 PM","!9e78e31c","214","","","encrypted","3 / 7",""
"3/15, 4:25 PM","🦝","0","","","TELEMETRY_APP","4 / 5","0.0V 101%"
"3/15, 4:26 PM","0xFC to 🦝","","","","TRACEROUTE","",""
"3/15, 4:25 PM","🦝","0","","","TELEMETRY_APP","4 / 5",""
"3/15, 4:25 PM","P2NE","0","","","POSITION_APP","2 / 5","(38.235, -120.339) 1187m asl"
"3/15, 4:26 PM","0xFC to P2NE","","","","TRACEROUTE","",""
"3/15, 4:25 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/15, 4:26 PM","RIPR to P2NE","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/15, 4:26 PM","HA0","0","","","NODEINFO_APP","2 / 7","HA0 Fixed 65e1"
"3/15, 4:27 PM","0xFA to !a2eb4184","0","","","NODEINFO_APP","1 / 7","0xFA Shrike"
"3/15, 4:28 PM","BTVW","0","","","TELEMETRY_APP","2 / 7","4.2V 100%"
"3/15, 4:28 PM","GG01","0","","","NODEINFO_APP","1 / 5","GG_Repeater_01"
"3/15, 4:29 PM","0xFC to GG01","","","","TRACEROUTE","",""
"3/15, 4:29 PM","ee2c","0","-19.75","-128","NODEINFO_APP","","Meshtastic ee2c"
"3/15, 4:29 PM","RIPR","0","","","TELEMETRY_APP","2 / 3","4.2V 99%"
"3/15, 4:29 PM","Mfeb","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/15, 4:30 PM","D","0","","","TELEMETRY_APP","5 / 7",""
"3/15, 4:31 PM","0xFC to D","","","","TRACEROUTE","",""
"3/15, 4:30 PM","D","0","","","TELEMETRY_APP","7 / 7","4.2V 101%"
"3/15, 4:30 PM","!e2e5ffc8","132","","","encrypted","4 / 7",""
"3/15, 4:30 PM","P1NE","0","","","TELEMETRY_APP","1 / 5","4.1V 91%"
"3/15, 4:32 PM","elxx","0","","","POSITION_APP","2 / 7","(37.985, -120.298) 691m asl"
"3/15, 4:33 PM","0xFC to elxx","","","","TRACEROUTE","",""
"3/15, 4:33 PM","MT","0","6.25","-42","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/15, 4:33 PM","MYR1","0","-18","-128","TELEMETRY_APP","","4.1V 84%"
"3/15, 4:34 PM","MFMS","0","","","NODEINFO_APP","2 / 7","MFM Solar"
"3/15, 4:34 PM","470b","0","","","NODEINFO_APP","1 / 7","DBS 470b"
"3/15, 4:34 PM","U951","0","MQTT","","POSITION_APP","3 / 7","(37.754, -122.413) 16m asl"
"3/15, 4:35 PM","0xFC to U951","","","","TRACEROUTE","",""
"3/15, 4:34 PM","0xFA to U951","0","","","NODEINFO_APP","2 / 7","0xFA Shrike"
"3/15, 4:35 PM","RIPR to elxx","0","","","NODEINFO_APP","2 / 3","Ripon_Router"
"3/15, 4:35 PM","ee2c to elxx","0","-20","-128","NODEINFO_APP","","Meshtastic ee2c"
