Date,Nodes,Channel,SNR,RSSI,Type,Hops,Data
"3/9, 11:13 PM","LBSO","0","","","TELEMETRY_APP","4 / 5","4.3V 101%"
"3/9, 11:14 PM","!79cfdddc","0","","","TELEMETRY_APP","2 / 3","0.0V 101%"
"3/9, 11:14 PM","0xFC to !79cfdddc","","","","TRACEROUTE","",""
"3/9, 11:14 PM","!34a5bb81","0","","","POSITION_APP","4 / 7","(37.461, -122.154) 35m asl"
"3/9, 11:14 PM","0xFC to !34a5bb81","","","","TRACEROUTE","",""
"3/9, 11:16 PM","22b8","0","MQTT","","POSITION_APP","3 / 7","(38.293, -120.275) 1435m asl"
"3/9, 11:16 PM","MT","0","6","-57","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 11:16 PM","22b8","0","MQTT","","TELEMETRY_APP","3 / 7","4.2V 100%"
"3/9, 11:16 PM","0xFC to 22b8","","","","TRACEROUTE","",""
"3/9, 11:16 PM","8c32","0","","","TELEMETRY_APP","2 / 5","4.1V 90%"
"3/9, 11:17 PM","DOME","0","MQTT","","NODEINFO_APP","3 / 7","DOMEnet mesh.ersn.net"
"3/9, 11:17 PM","MT","0","6.25","-55","TELEMETRY_APP","0 / 7","4.2V 101%"
"3/9, 11:17 PM","8998","0","","","NODEINFO_APP","5 / 7","K6RPT"
"3/9, 11:17 PM","0xFC to 8998","","","","TRACEROUTE","",""
"3/9, 11:18 PM","D","0","","","POSITION_APP","7 / 7","(37.356, -121.976) 6m asl"
"3/9, 11:18 PM","elxx","0","","","POSITION_APP","3 / 7","(37.985, -120.298) 691m asl"
"3/9, 11:18 PM","0xFC to elxx","","","","TRACEROUTE","",""
"3/9, 11:18 PM","ffa8","0","MQTT","","NODEINFO_APP","3 / 7","DOMEnet bayme.sh"
"3/9, 11:18 PM","elxx to 0xFC","0","","","TRACEROUTE_APP","3 / 5","0xFC -> MT -> tblu -> GG01 -> elxx"
"3/9, 11:19 PM","!9cdcebd0","0","","","TELEMETRY_APP","2 / 7","4.0V 85%"
"3/9, 11:20 PM","d7af","0","","","POSITION_APP","3 / 3","(37.991, -121.746) ?m asl"
"3/9, 11:20 PM","!34a5bb81","0","","","POSITION_APP","7 / 7",""
"3/9, 11:20 PM","!a2eb4184","0","","","POSITION_APP","4 / 4","(37.311, -121.951) 25m asl"
"3/9, 11:21 PM","0xFC","0","","","TELEMETRY_APP","",""
"3/9, 11:22 PM","GG01","0","","","NODEINFO_APP","3 / 5",""
"3/9, 11:22 PM","A23G","0","MQTT","","POSITION_APP","3 / 5","(37.754, -122.413) 30m asl"
"3/9, 11:22 PM","0xFC to A23G","","","","TRACEROUTE","",""
"3/9, 11:22 PM","LBLB","0","","","NODEINFO_APP","4 / 5","ElembeMesh: Primary"
"3/9, 11:26 PM","MT","0","4.75","-57","NODEINFO_APP","0 / 7","MeshTerminal (ke6uop)"
"3/9, 11:28 PM","!3d7851bc","0","","","POSITION_APP","4 / 4",""
"3/9, 11:28 PM","0xFC to !3d7851bc","","","","TRACEROUTE","",""
"3/9, 11:28 PM","!e618d2df","0","","","POSITION_APP","3 / 3","(37.722, -121.132) 0m asl"
"3/9, 11:28 PM","tblu","0","","","TELEMETRY_APP","1 / 5","3.7V 46%"
"3/9, 11:29 PM","!1ebc35b9","0","6.25","-56","POSITION_APP","",""
"3/9, 11:29 PM","0xFC to !e618d2df","","","","TRACEROUTE","",""
"3/9, 11:29 PM","!433c5c84","30","","","encrypted","7 / 7",""
"3/9, 11:30 PM","P1NE","0","","","TELEMETRY_APP","1 / 5","4.1V 90%"
"3/9, 11:30 PM","!d480a198","0","","","TELEMETRY_APP","6 / 7","4.2V 101%"
"3/9, 11:30 PM","!a20a189c","0","","","TELEMETRY_APP","3 / 3","0.0V 101%"
"3/9, 11:31 PM","WRWY","0","","","STORE_FORWARD_APP","5 / 7",""
"3/9, 11:31 PM","MUHM","0","","","POSITION_APP","6 / 6",""
"3/9, 11:31 PM","0xFC to MUHM","","","","TRACEROUTE","",""
"3/9, 11:31 PM","!69842be0","0","","","POSITION_APP","6 / 7","(37.251, -119.826) 474m asl"
